order_id,item_id,item_name,qtt,InsertTime
17051351,8159,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 8-10,1,2024-03-10 13:18:52.670
17048526,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17048526,5835,ניפוץ לשמה - פתיל עבה,1,2024-03-10 13:18:52.670
17066858,7885,שתי זוגות גרביון לילדות 48 דנייר שחור - מידה 4-6,1,2024-03-10 13:18:52.670
17066858,1923,לבנים צבעוניות ילדות שמינייה מידה 4-6,1,2024-03-10 13:18:52.670
17066858,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
17042055,7452,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 9-10,1,2024-03-10 13:18:52.670
17060920,2091,לבנים צבעוניות ילדות שמינייה מידה 14-16,1,2024-03-10 13:18:52.670
17060920,7019,שמיניית לבנים צבעוניות ילדים מידה 10-12,1,2024-03-10 13:18:52.670
17060920,8252,חפתים בקופסא דגם עגול זהב,1,2024-03-10 13:18:52.670
17060920,8253,חפתים בקופסא דגם עגול כסף,1,2024-03-10 13:18:52.670
17057553,1952,זוג ציציות מוכנות לילדים מידה 6,1,2024-03-10 13:18:52.670
17057553,5377,זוג גופיות ציצית לילדים - מידה 10,1,2024-03-10 13:18:52.670
17057553,7017,שמיניית לבנים צבעוניות ילדים מידה 6-8,1,2024-03-10 13:18:52.670
17057553,7019,שמיניית לבנים צבעוניות ילדים מידה 10-12,1,2024-03-10 13:18:52.670
17073969,1922,לבנים צבעוניות ילדות שמינייה מידה 2-4,1,2024-03-10 13:18:52.670
17073969,1923,לבנים צבעוניות ילדות שמינייה מידה 4-6,1,2024-03-10 13:18:52.670
17073969,1925,לבנים צבעוניות ילדות שמינייה מידה 8-10,1,2024-03-10 13:18:52.670
17073969,1926,לבנים צבעוניות ילדות שמינייה מידה 10-12,1,2024-03-10 13:18:52.670
17073969,1927,לבנים צבעוניות ילדות שמינייה מידה 12-14,1,2024-03-10 13:18:52.670
17073969,7834,שישיית גרביונים בצבע כחול 70 דנייר מידה 10-12,1,2024-03-10 13:18:52.670
17055746,1951,זוג ציציות מוכנות לילדים מידה 5,1,2024-03-10 13:18:52.670
17050513,2200,כותונת אינטרלוק לילדות שרוול ארוך - מידה 8,1,2024-03-10 13:18:52.670
17074839,8157,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 4-6,1,2024-03-10 13:18:52.670
17071703,8253,חפתים בקופסא דגם עגול כסף,1,2024-03-10 13:18:52.670
17082746,1953,זוג ציציות מוכנות לילדים מידה 3,1,2024-03-10 13:18:52.670
17082746,7580,זוג סינרים לפעוטות - בנים,1,2024-03-10 13:18:52.670
17082746,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
17074398,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17074398,8253,חפתים בקופסא דגם עגול כסף,1,2024-03-10 13:18:52.670
17078868,5300,תמיסה לעדשות יוניקה,2,2024-03-10 13:18:52.670
17036356,1922,לבנים צבעוניות ילדות שמינייה מידה 2-4,2,2024-03-10 13:18:52.670
17036356,1943,בד לציצית 100% כותנה מידה 9,1,2024-03-10 13:18:52.670
